"လယ်ဝေး","Lewe Township"
"သပိတ်ကျင်း","Thabeikkyin Township"
"မိုးကုတ်","Mogok Township"
"စဉ့်ကူး","Singu Township"
"မဟာအောင်မြေ","Maha Aungmye Township"
"ချမ်းအေးသာဇံ","Chanayethazan Township"
"ချမ်းမြသာစည်","Chanmyathazi Township"
"ပြည်ကြီးတံခွန်","Pyigyidagun Township"
"အောင်မြေသာဇံ","Aungmyethazan Township"
"ပုသိမ်ကြီး","Patheingyi Township"
"မတ္တရာ","Madaya Township"
"အမရပူရ","Amarapura Township"
"မလှိုင်","Mahlaing Township"
"မိတ္ထီလာ","Meiktila Township"
"ဝမ်းတွင်း","Wundwin Township"
"သာစည်","Thazi Township"
"မြင်းခြံ","Myingyan Township"
"တောင်သာ","Taungtha Township"
"နွားထိုးကြီး","Natogyi Township"
"ရမည်းသင်း","Yametin Township"
"ပျော်ဘွယ်","Pyawbwe Township"
"မော်လမြိုင်","Malamyine Township "
"ကျိုက်မရော","Kyaikmaraw Township"
"ချောင်းဆုံ","Chaungzon Township "
"သံဖြူဇရပ်","Thanbyuzayat Township "
"မုဒုံ","Mudon Township"
"ရေး","Ye Township"
"သထုံ","Thaton Township"
"ပေါင်","Paung Township"
"ကျိုက်ထို","Kyaikto Township"
"ဘီးလင်း","Bilin Township"
"ကျောက်ဖြူ","Kyaukpyu Township"
"ရမ်းဗြဲ","Ramee Township"
"အမ်း","Ann Township"
"စစ်တွေ","Sittwe Township"
"ပေါက်တော","Pauktaw Township"
"ပုဏ္ဏကျွန်း","Ponnagyun Township"
"ရသေ့တောင်","Rathedaung Township"
"မောင်တော","Maungdaw Township"
"ဘူးသီးတောင်","Buthidaung Township"
"ကျောက်တော်","Kyauktaw Township"
"မင်းပြား","Minbya Township"
"မြေပုံ","Myebon Township"
"မြောက်ဦး","Mrauk-U Township"
"သံတွဲ","Thandwe Township"
"ဂွ","Gwa Township"
"တောင်ကုတ်","Toungup Township"
"မာန်အောင်","Manaung Township"
"တိုက်ကြီး","Taikkyi Township"
"လှည်းကူး","Hlegu Township"
"မှော်ဘီ","Hmawbi Township"
"ထန်းတပင်","Htantabin Township"
"မင်္ဂလာဒုံ","Mingaladon Township"
"ရွှေပြည်သာ","Shwepyitha Township"
"အင်းစိန်","Insein Township"
"လှိုင်သာယာ(အရှေ့ပိုင်)","East Hlaingthaya Township"
"လှိုင်သာယာ(အနောက်ပိုင်း)","West Hlaingthaya Township"
"သင်္ဃန်းကျွန်း","Thingangyun Township"
"တောင်ဥက္ကလာပ","South Okkalapa Township"
"ရန်ကင်း","Yankin Township"
"တာမွေ","Tamwe Township"
"ဗိုလ်တထောင်","Botataung Township"
"ဒေါပုံ","Dawbon Township"
"မင်္ဂလာတောင်ညွန့်","Mingala Taungnyunt Township"
"ပုဇွန်တောင်","Pazundaung Township"
"သာကေတ","Thaketa Township"
"ဒဂုံမြို့သစ်(တောင်ပိုင်း)","South Dagon Township"
"ဒဂုံမြို့သစ်(မြောက်ပိုင်း)","North Dagon Township"
"ဒဂုံမြို့သစ်(အရှေ့ပိုင်း)","East Dagon Township"
"ဒဂုံမြို့သစ်(ဆိပ်ကမ်း)","Dagon Seikkan Township"
"သန်လျင်","Thanlyin Township"
"ကျောက်တန်း","Kyauktan Township"
"သုံးခွ","Thongwa Township"
"ခရမ်း","Kayan Township"
"ကိုကိုးကျွန်း","Cocokyun Township"
"တွံတေး","Twante Township"
"ဆိပ်ကြီး/ခနောင်တို","Seikkyi Kanaungto Township"
"ဒလ","Dala Township"
"ကော့မှူး","Kawhmu Township"
"ကွမ်းခြံကုန်း","Kungyangon Township"
"ကျောက်တံတား","Kyauktada Township"
"ပန်းဘဲတန်း","Pabedan Township"
"လသာ","Latha Township"
"လမ်းမတော်","Lanmadaw Township"
"ဒဂုံ","Dagon Township"
"အလုံ","Ahlon Township"
"ကြည့်မြင့်တိုင်","Kyimyindaing Township"
"စမ်းချောင်း","Sanchaung Township"
"မရမ်းကုန်း","Mayangone Township"
"လှိုင်","Hlaing Township"
"မြောက်ဥက္ကလာပ","North Okkalapa Township"
"ကမာရွတ်","Kamayut Township"
"ဗဟန်း","Bahan Township"
"မက်မန်း","Matman Township"
"ပန်ဆန်း(ပန်ခမ်း)","Pangsang Township (Pan Kan)"
"နားဖန်း","Naphang Township"
"ဟိုပန်","Hopang Township"
"မိုင်းမော","Minemaw Township"
"ပန်ဝိုင်","Panwine Township"
"ရွာငံ","Ywangan Township"
"ပင်းတယ","Pindaya Township"
"ဟိုပုံး","Hopong Township"
"ဆီဆိုင်","His Hseng Township"
"ပင်လောင်း","Pinlaung Township"
"နမ့်ဆန်","Namhsang Township"
"မန်တုံ","Mantong Township"
"ကုန်းကြမ်း","Konkyan Township"
"လောက်ကိုင်","Laukkaing Township"
"ကျောက်မဲ","Kyaukme Township"
"နမ္မတူ","Namtu Township"
"နောင်ချို","Nawnghkio Township"
"သီပေါ","Hsipaw Township"
"ကျိုင်းတုံ","Kengtung Township"
"မိုင်းခတ်","Mong Khet Township"
"မိုင်းပျဥ်း","Mong Ping Township"
"မိုင်းယန်း","Mong Yang Township"
"မိုင်းလား","Mong La Township"
"တာချီလိတ်","Tachileik Township"
"မိုင်းဖြတ်","Mong Hpayak Township"
"မိုင်းယောင်း","Mong Yawng Township"
"တောင်ကြီး","Taunggyi Township"
"ရပ်စောက်","Lawksawk Township"
"ကလော","Kalaw Township"
"ဖယ်ခုံ","Pekon Township"
"ညောင်ရွှေ","Nyaungshwe Township"
"မူဆယ်","Muse Township"
"နန့်ခမ်း","Nanhkan Township"
"ကွတ်ခိုင်","Kutkai Township"
"မဘိမ်း","Mabein Township"
"မိုးမိတ်","Mongmit Township"
"မိုင်းဆတ်","Mong Hsat Township"
"မိုင်းတုံ","Mong Tong Township"
"လာရှိုး","Lashio Township"
"သိန္နီ","Hseni Township"
"ကွမ်းလုံ","Kunlong Township"
"တန့်ယန်း","Tangyan Township"
"မိုင်းရယ်","Mongyai Township"
"လင်းခေး","Langkho Township"
"မောင်မယ်","Mawkmai Township"
"မိုင်းပန်","Mong Pan Township"
"လွိုင်လင်","Loilen Township"
"လဲချား","Lai-Hka Township"
"မိုင်းကိုင်","Mong Kung Township"
"နမ့်စန်","Nansang Township"
"ကွမ်ဟိန်း","Kunhing Township"
"မိုးနဲ","Mongnai Township"
"မိုင်းနှူး","Mongnu Township"
"ကျေးသီး","Kyethi Township"
"ပုသိမ်","Pathein Township"
"ကန်ကြီးထောင့်","Kangyidaunt Township"
"သာပေါင်း","Thabaung Township"
"ငပုတော","Ngapudaw Township"
" ကျုံပျော်","Kyonpyaw Township"
"ရေကြည်","Yekyi Township"
"ကျောင်းကုန်ူ","Kyaunggon Township"
"ကျိုက်လတ်","Kyaiklat Township"
"ဒေးဒရဲ","Dedaye Township"
"ဖျာပုံ","Pyapon Township"
"ဘိုကလေး","Bogale Township"
"ညောင်တုန်း","Nyaungdon Township"
"ဓနုဖြူ","Danubyu Township"
"ပန်းတနော်","Pantanaw Township"
"မအူပင်","Ma-ubin Township"
"မြောင်းမြ","Myaungmya Township"
"ဝါးခယ်မ","Wakema Township"
"အိမ်မဲ","Einme Township"
"မော်လမြိုင်ကျွန်း","Mawlamyinegyun Township"
"လပွတ္တာ","Labutta Township"
"ဟင်္သာတ","Hinthada Township"
"ဇလွန်","Zalun Township"
"လေးမျက်နှာ","Lemyethna Township"
"မြန်အောင်","Myanaung Township"
"ကြံခင်း","Kyangin Township"
"အင်္ဂပူ","Ingapu Township"
